Product Name,Old Price,New Price,Discount,Rating,Ratings Count
Fashion Men Shoes Loafers Casual Shoes Male Shoes Slip-On Shoes Business Loafers,1547.0,719799,54%,4.1,99.0
Fashion Mens Long Sleeve Dress Shirts - White,1190.0,539599,55%,3.5,111.0
Fashion Ladies Mobile Phone Bag PU Wallet Crossbody Bag Black Purse Mini Bag,978.0,458,53%,3.9,52.0
GUIXIA  F9 Wireless Headset Bluetooth Earphone True Bass With Power Banc,799.0,479,40%,3.6,86.0
Fashion Women Shoes Sandals Heels Ladies Shoes Casual Shoes,1999.0,989,51%,3.6,117.0
Fashion Mens Leather Shoes Men's Official Leather Shoes Mens Leather Shoes Black,1309.0,799,39%,3.4,67.0
Fashion 2024 New Men's Outdoor Casual Trendy Sports Shoes - White,2271.0,1499,34%,3.6,126.0
Fashion Men's Leather Shoes Business Casual Loafers-Brown,1275.0,930,27%,3.1,11.0
Fashion Men Shoes Loafers Casual Shoes Slip-On Shoes Business Shoes,1156.0,699,40%,3.6,191.0
Fashion Lace Up Sneakers Men's Shoes-Black,990.0,540,45%,3.1,54.0
RichRipple P9 Bluetooth Headsets Hi-Fi Stereo Noise Reduction Headphone,1377.0,651,53%,3.9,163.0
Fashion Shorts Loose Sport Short For Men And Women,571.0,316,45%,4.5,23.0
Fashion Men's Elegant Office Flat Synthetic Leather Loafer  Oxfords Casual Rubber Shoes White,2173.0,1380,36%,3.7,124.0
Men's Cartoon Printed Elasticated High Waist Casual Summer Shorts,546.0,369,32%,4.1,65.0
Fashion Lace Up Sneakers Men's Shoes-Black Green,890.0,486540,45%,3.7,15.0
Kids Jacket Hoodies Sun Protection Clothing Sweatshirt With Zipper Cardigan,169.0,95,44%,4.2,6.0
Full Touch Screen Smart Watch - For Android & IOS,1699.0,838,51%,3.1,31.0
Fashion Mens Sport Hoodies Casual Long Sleeves Cotton Sweatshirts Outdoor Overhead,23052508.0,1420,43%,3.9,161.0
Fashion Men Shoes Sneakers Sport Shoes Running Sneakers Casual Shoes  Welcome To Smark,998.0,539599,46%,3.4,40.0
GUIXIA Tws Wireless Bluetooth Headsets Earphones Pro4,826.0,459,44%,3.8,144.0
GUIXIA Tws Wireless Bluetooth Headsets Earphones Inpods12,684.0,399,42%,3.8,154.0
